whole_1,whole_2
0,0.1
0.1,0.685658780057439
0.2,6.20785416970905
0.3,6.51394743911567
0.4,6.72162844017035
0.5,6.79617454680385
0.6,6.75269949747798
0.7,6.63741092466014
0.8,6.49181792546122
0.9,6.32502452989558
1,6.14383411104762
1.1,5.97508225782729
1.2,5.80653552905952
1.3,5.6371070224589
1.4,5.47074286246843
1.5,5.30737833844764
1.6,5.14727342707608
1.7,4.99046186627282
1.8,4.83602392865315
1.9,4.68403836112874
2,4.53494039632369
2.1,4.38887028753542
2.2,4.24573525140843
2.3,4.10562438389091
2.4,3.96847495326004
2.5,3.83417631088249
2.6,3.70277561560367
2.7,3.57414911502367
2.8,3.44826012944937
2.9,3.32505487742361
3,3.20446979277218
3.1,3.08646201954186
3.2,2.97100572690618
3.3,2.85804824264631
3.4,2.74754609218345
3.5,2.63950553226696
3.6,2.5338737404934
3.7,2.43061707287949
3.8,2.3297302609023
3.9,2.2311933998366
4,2.13497276778691
4.1,2.04105825959418
4.2,1.94946514358125
4.3,1.8601602735869
4.4,1.77312866639514
4.5,1.68841001208395
4.6,1.6059772454589
4.7,1.5258251612231
4.8,1.4480023043398
4.9,1.37251831953309
5,1.29935336395986
5.1,1.22850743762008
5.2,1.16000361381783
5.3,1.09407110540297
5.4,1.03055316894378
5.5,0.969449804440266
5.6,0.910761011892427
5.7,0.854618589290377
5.8,0.801073029603266
5.9,0.750036498554425
6,0.701508996143856
6.1,0.655490522371558
6.2,0.611704996025026
6.3,0.570325646832042
6.4,0.531354770357664
6.5,0.494792366601893
6.6,0.460455671445915
6.7,0.428091012072402
6.8,0.397816476184704
6.9,0.369531936665171
7,0.343043100159205
7.1,0.318326749897647
7.2,0.295298573812784
7.3,0.273879218818521
7.4,0.253982404959476
7.5,0.235520969838843
7.6,0.218362073146221
7.7,0.202429906884117
7.8,0.187630072198371
7.9,0.17391393517033
8,0.161181004739776
8.1,0.149345725280483
8.2,0.138348117223256
8.3,0.128112850159151
8.4,0.118581378735531
8.5,0.109725692056458
8.6,0.101497005797417
8.7,0.0938653473597898
8.8,0.0867871893424935
8.9,0.0802259163839322
9,0.0741461942200422
9.1,0.068510180231212
9.2,0.0632930196381334
9.3,0.0584574897219962
9.4,0.053980604004361
9.5,0.0498375771710043
9.6,0.0460016593880769
9.7,0.0424665480493771
9.8,0.0392049615346588
9.9,0.0361960116929222
10,0.0334188103731682
10.1,0.0308586406132407
10,0.1
10.1,0.685658780057439
10.2,6.20785416970905
10.3,6.51394743911567
10.4,6.72162844017035
10.5,6.79617454680385
10.6,6.75269949747798
10.7,6.63741092466014
10.8,6.49181792546122
10.9,6.32502452989558
11,6.14383411104762
11.1,5.97508225782729
11.2,5.80653552905952
11.3,5.6371070224589
11.4,5.47074286246843
11.5,5.30737833844764
11.6,5.14727342707608
11.7,4.99046186627282
11.8,4.83602392865315
11.9,4.68403836112874
12,4.53494039632369
12.1,4.38887028753542
12.2,4.24573525140843
12.3,4.10562438389091
12.4,3.96847495326004
12.5,3.83417631088249
12.6,3.70277561560367
12.7,3.57414911502367
12.8,3.44826012944937
12.9,3.32505487742361
13,3.20446979277218
13.1,3.08646201954186
13.2,2.97100572690618
13.3,2.85804824264631
13.4,2.74754609218345
13.5,2.63950553226696
13.6,2.5338737404934
13.7,2.43061707287949
13.8,2.3297302609023
13.9,2.2311933998366
14,2.13497276778691
14.1,2.04105825959418
14.2,1.94946514358125
14.3,1.8601602735869
14.4,1.77312866639514
14.5,1.68841001208395
14.6,1.6059772454589
14.7,1.5258251612231
14.8,1.4480023043398
14.9,1.37251831953309
15,1.29935336395986
15.1,1.22850743762008
15.2,1.16000361381783
15.3,1.09407110540297
15.4,1.03055316894378
15.5,0.969449804440266
15.6,0.910761011892427
15.7,0.854618589290377
15.8,0.801073029603266
15.9,0.750036498554425
16,0.701508996143856
16.1,0.655490522371558
16.2,0.611704996025026
16.3,0.570325646832042
16.4,0.531354770357664
16.5,0.494792366601893
16.6,0.460455671445915
16.7,0.428091012072402
16.8,0.397816476184704
16.9,0.369531936665171
17,0.343043100159205
17.1,0.318326749897647
17.2,0.295298573812784
17.3,0.273879218818521
17.4,0.253982404959476
17.5,0.235520969838843
17.6,0.218362073146221
17.7,0.202429906884117
17.8,0.187630072198371
17.9,0.17391393517033
18,0.161181004739776
18.1,0.149345725280483
18.2,0.138348117223256
18.3,0.128112850159151
18.4,0.118581378735531
18.5,0.109725692056458
18.6,0.101497005797417
18.7,0.0938653473597898
18.8,0.0867871893424935
18.9,0.0802259163839322
19,0.0741461942200422
19.1,0.068510180231212
19.2,0.0632930196381334
19.3,0.0584574897219962
19.4,0.053980604004361
19.5,0.0498375771710043
19.6,0.0460016593880769
19.7,0.0424665480493771
19.8,0.0392049615346588
19.9,0.0361960116929222
20,0.0334188103731682
20.1,0.0308586406132407
20,0.1
20.1,0.685658780057439
20.2,6.20785416970905
20.3,6.51394743911567
20.4,6.72162844017035
20.5,6.79617454680385
20.6,6.75269949747798
20.7,6.63741092466014
20.8,6.49181792546122
20.9,6.32502452989558
21,6.14383411104762
21.1,5.97508225782729
21.2,5.80653552905952
21.3,5.6371070224589
21.4,5.47074286246843
21.5,5.30737833844764
21.6,5.14727342707608
21.7,4.99046186627282
21.8,4.83602392865315
21.9,4.68403836112874
22,4.53494039632369
22.1,4.38887028753542
22.2,4.24573525140843
22.3,4.10562438389091
22.4,3.96847495326004
22.5,3.83417631088249
22.6,3.70277561560367
22.7,3.57414911502367
22.8,3.44826012944937
22.9,3.32505487742361
23,3.20446979277218
23.1,3.08646201954186
23.2,2.97100572690618
23.3,2.85804824264631
23.4,2.74754609218345
23.5,2.63950553226696
23.6,2.5338737404934
23.7,2.43061707287949
23.8,2.3297302609023
23.9,2.2311933998366
24,2.13497276778691
24.1,2.04105825959418
24.2,1.94946514358125
24.3,1.8601602735869
24.4,1.77312866639514
24.5,1.68841001208395
24.6,1.6059772454589
24.7,1.5258251612231
24.8,1.4480023043398
24.9,1.37251831953309
25,1.29935336395986
25.1,1.22850743762008
25.2,1.16000361381783
25.3,1.09407110540297
25.4,1.03055316894378
25.5,0.969449804440266
25.6,0.910761011892427
25.7,0.854618589290377
25.8,0.801073029603266
25.9,0.750036498554425
26,0.701508996143856
26.1,0.655490522371558
26.2,0.611704996025026
26.3,0.570325646832042
26.4,0.531354770357664
26.5,0.494792366601893
26.6,0.460455671445915
26.7,0.428091012072402
26.8,0.397816476184704
26.9,0.369531936665171
27,0.343043100159205
27.1,0.318326749897647
27.2,0.295298573812784
27.3,0.273879218818521
27.4,0.253982404959476
27.5,0.235520969838843
27.6,0.218362073146221
27.7,0.202429906884117
27.8,0.187630072198371
27.9,0.17391393517033
28,0.161181004739776
28.1,0.149345725280483
28.2,0.138348117223256
28.3,0.128112850159151
28.4,0.118581378735531
28.5,0.109725692056458
28.6,0.101497005797417
28.7,0.0938653473597898
28.8,0.0867871893424935
28.9,0.0802259163839322
29,0.0741461942200422
29.1,0.068510180231212
29.2,0.0632930196381334
29.3,0.0584574897219962
29.4,0.053980604004361
29.5,0.0498375771710043
29.6,0.0460016593880769
29.7,0.0424665480493771
29.8,0.0392049615346588
29.9,0.0361960116929222
30,0.0334188103731682
30.1,0.0308586406132407
30,0.1
30.1,0.685658780057439
30.2,6.20785416970905
30.3,6.51394743911567
30.4,6.72162844017035
30.5,6.79617454680385
30.6,6.75269949747798
30.7,6.63741092466014
30.8,6.49181792546122
30.9,6.32502452989558
31,6.14383411104762
31.1,5.97508225782729
31.2,5.80653552905952
