whole_1,whole_2
0,0.1
0.1,6.20785416970905
0.2,6.51394743911567
0.3,6.72162844017035
0.4,6.79617454680385
0.5,6.75269949747798
0.6,6.63741092466014
0.7,6.49181792546122
0.8,6.32502452989558
0.9,6.14383411104762
1,5.97508225782729
1.1,5.80653552905952
1.2,5.6371070224589
1.3,5.47074286246843
1.4,5.30737833844764
1.5,5.14727342707608
1.6,4.99046186627282
1.7,4.83602392865315
1.8,4.68403836112874
1.9,4.53494039632369
2,4.38887028753542
2.1,6.20785416970905
2.2,6.51394743911567
2.3,6.72162844017035
2.4,6.79617454680385
2.5,6.75269949747798
2.6,6.63741092466014
2.7,6.49181792546122
2.8,6.32502452989558
2.9,6.14383411104762
3,5.97508225782729
3.1,5.80653552905952
3.2,5.6371070224589
3.3,5.47074286246843
3.4,5.30737833844764
3.5,5.14727342707608
3.6,4.99046186627282
3.7,4.83602392865315
3.8,4.68403836112874
3.9,4.53494039632369
4,4.38887028753542
4.1,6.20785416970905
4.2,6.51394743911567
4.3,6.72162844017035
4.4,6.79617454680385
4.5,6.75269949747798
4.6,6.63741092466014
4.7,6.49181792546122
4.8,6.32502452989558
4.9,6.14383411104762
5,5.97508225782729
5.1,5.80653552905952
5.2,5.6371070224589
5.3,5.47074286246843
5.4,5.30737833844764
5.5,5.14727342707608
5.6,4.99046186627282
5.7,4.83602392865315
5.8,4.68403836112874
5.9,4.53494039632369
6,4.38887028753542
6.1,6.20785416970905
6.2,6.51394743911567
6.3,6.72162844017035
6.4,6.79617454680385
6.5,6.75269949747798
6.6,6.63741092466014
6.7,6.49181792546122
6.8,6.32502452989558
6.9,6.14383411104762
7,5.97508225782729
7.1,5.80653552905952
7.2,5.6371070224589
7.3,5.47074286246843
7.4,5.30737833844764
7.5,5.14727342707608
7.6,4.99046186627282
7.7,4.83602392865315
7.8,4.68403836112874
7.9,4.53494039632369
8,4.38887028753542
8.1,6.20785416970905
8.2,6.51394743911567
8.3,6.72162844017035
8.4,6.79617454680385
8.5,6.75269949747798
8.6,6.63741092466014
8.7,6.49181792546122
8.8,6.32502452989558
8.9,6.14383411104762
9,5.97508225782729
9.1,5.80653552905952
9.2,5.6371070224589
9.3,5.47074286246843
9.4,5.30737833844764
9.5,5.14727342707608
9.6,4.99046186627282
9.7,4.83602392865315
9.8,4.68403836112874
9.9,4.53494039632369
10,4.38887028753542
10.1,6.20785416970905
10.2,6.51394743911567
10.3,6.72162844017035
10.4,6.79617454680385
10.5,6.75269949747798
10.6,6.63741092466014
10.7,6.49181792546122
10.8,6.32502452989558
10.9,6.14383411104762
11,5.97508225782729
11.1,5.80653552905952
11.2,5.6371070224589
11.3,5.47074286246843
11.4,5.30737833844764
11.5,5.14727342707608
11.6,4.99046186627282
11.7,4.83602392865315
11.8,4.68403836112874
11.9,4.53494039632369
12,4.38887028753542
12.1,6.20785416970905
12.2,6.51394743911567
12.3,6.72162844017035
